"";"Data";"MunicipioChave";"Tipo";"Confirmados";"Mortes";"UltimaData";"PopulacaoEstimadaEm2019";"ConfirmadosACada100K";"PorcentagemMorte";"InformadoMunicipio";"_TipoFato";"Cluster"
"1";2020-04-20;"1100023-RO";"city";44;0;"True";"107863";"40.79249";0;"S";"ATUAL";3
"2";2020-04-20;"1100114-RO";"city";1;0;"True";"51775";"1.93143";0;"S";"ATUAL";2
"3";2020-04-20;"1100122-RO";"city";7;1;"True";"128969";"5.42766";0,1429;"S";"ATUAL";2
"4";2020-04-20;"1100155-RO";"city";6;0;"True";"36035";"16.65048";0;"S";"ATUAL";2
"5";2020-04-20;"1100205-RO";"city";135;3;"True";"529544";"25.49363";0,0222;"S";"ATUAL";3
"6";2020-04-20;"1100288-RO";"city";3;0;"True";"55058";"5.4488";0;"S";"ATUAL";2
"7";2020-04-20;"1100304-RO";"city";1;0;"True";"99854";"1.00146";0;"S";"ATUAL";2
"8";2020-04-20;"1100403-RO";"city";1;0;"True";"21428";"4.66679";0;"S";"ATUAL";2
"9";2020-04-20;"1100452-RO";"city";1;0;"True";"39654";"2.52181";0;"S";"ATUAL";2
"10";2020-04-20;"1200013-AC";"city";12;0;"True";"15256";"78.65758";0;"S";"ATUAL";2
"11";2020-04-20;"1200138-AC";"city";1;0;"True";"10266";"9.74089";0;"S";"ATUAL";2
"12";2020-04-20;"1200203-AC";"city";5;0;"True";"88376";"5.65764";0;"S";"ATUAL";2
"13";2020-04-20;"1200385-AC";"city";19;1;"True";"19761";"96.14898";0,0526;"S";"ATUAL";2
"14";2020-04-20;"1200401-AC";"city";136;7;"True";"407319";"33.38906";0,0515;"S";"ATUAL";3
"15";2020-04-20;"1200450-AC";"city";2;0;"True";"23024";"8.68659";0;"S";"ATUAL";2
"16";2020-04-20;"1200807-AC";"city";1;0;"True";"18504";"5.40424";0;"S";"ATUAL";2
"17";2020-04-20;"1300086-AM";"city";1;0;"True";"13614";"7.34538";0;"S";"ATUAL";2
"18";2020-04-20;"1300102-AM";"city";6;0;"True";"21010";"28.55783";0;"S";"ATUAL";2
"19";2020-04-20;"1300300-AM";"city";2;0;"True";"39565";"5.05497";0;"S";"ATUAL";2
"20";2020-04-20;"1300706-AM";"city";1;0;"True";"34308";"2.91477";0;"S";"ATUAL";2
"21";2020-04-20;"1300904-AM";"city";1;0;"True";"15629";"6.39836";0;"S";"ATUAL";2
"22";2020-04-20;"1301001-AM";"city";1;1;"True";"28294";"3.53432";1;"S";"ATUAL";2
"23";2020-04-20;"1301100-AM";"city";6;1;"True";"37869";"15.84409";0,1667;"S";"ATUAL";2
"24";2020-04-20;"1301159-AM";"city";4;0;"True";"30225";"13.23408";0;"S";"ATUAL";2
"25";2020-04-20;"1301209-AM";"city";2;0;"True";"85097";"2.35026";0;"S";"ATUAL";2
"26";2020-04-20;"1301852-AM";"city";24;3;"True";"48296";"49.69356";0,125;"S";"ATUAL";2
"27";2020-04-20;"1301902-AM";"city";27;1;"True";"101337";"26.64377";0,037;"S";"ATUAL";2
"28";2020-04-20;"1302207-AM";"city";1;0;"True";"14712";"6.79717";0;"S";"ATUAL";2
"29";2020-04-20;"1302306-AM";"city";1;0;"True";"14317";"6.9847";0;"S";"ATUAL";2
"30";2020-04-20;"1302405-AM";"city";2;0;"True";"46069";"4.34131";0;"S";"ATUAL";2
"31";2020-04-20;"1302504-AM";"city";201;13;"True";"97377";"206.41425";0,0647;"S";"ATUAL";1
"32";2020-04-20;"1302702-AM";"city";1;1;"True";"55751";"1.79369";1;"S";"ATUAL";2
"33";2020-04-20;"1302900-AM";"city";22;2;"True";"63905";"34.4261";0,0909;"S";"ATUAL";2
"34";2020-04-20;"1303205-AM";"city";2;1;"True";"19454";"10.28066";0,5;"S";"ATUAL";2
"35";2020-04-20;"1303403-AM";"city";21;3;"True";"114273";"18.37704";0,1429;"S";"ATUAL";2
"36";2020-04-20;"1303536-AM";"city";11;1;"True";"36279";"30.32057";0,0909;"S";"ATUAL";2
"37";2020-04-20;"1303601-AM";"city";1;0;"True";"25156";"3.97519";0;"S";"ATUAL";2
"38";2020-04-20;"1303700-AM";"city";10;0;"True";"21602";"46.29201";0;"S";"ATUAL";2
